Profiled Section, Average, Minimum, Maximum
CPU Frame Time,11.556719,4.161836,22.930616
GPU Frame Time:     ,32.827751,24.443968,68.397408
Render to Buffers:  ,2.073910,0.346528,6.737248
Shadow Maps Render: ,1.889968,1.873152,1.926208
Lighting Pass:      ,21.793255,14.079617,58.105057
Voxelise Clear:     ,0.028518,0.028320,0.029088
Voxelise Pass:      ,3.126711,3.114208,3.302592
Inject Radiance:    ,0.116516,0.109024,0.157024
GPU Tile Update:    ,0.000010,0.000000,0.000032
Generate Mips:      ,0.172763,0.156928,0.446048
Image Comparison Difference,0.000282,0.000000,0.041183

Memory Usage(MB):,2
