Profiled Section, Average, Minimum, Maximum
CPU Frame Time,25.331656,14.146383,44.126408
GPU Frame Time:     ,16.567013,12.208192,28.927584
Render to Buffers:  ,2.068467,0.367520,6.721568
Shadow Maps Render: ,1.920932,1.862368,2.311264
Lighting Pass:      ,10.707519,7.118272,22.401152
Voxelise Clear:     ,0.005825,0.005696,0.006752
Voxelise Pass:      ,1.656641,1.533408,3.292256
Inject Radiance:    ,0.064523,0.054336,0.083744
GPU Tile Update:    ,0.000010,0.000000,0.000032
Generate Mips:      ,0.104093,0.086496,0.154560
Image Comparison Difference,0.000000,0.000000,0.000000

Memory Usage(MB):,1
