Profiled Section, Average, Minimum, Maximum
CPU Frame Time,33.417557,21.035843,46.428490
GPU Frame Time:     ,22.601177,19.499008,37.395454
Render to Buffers:  ,1.809321,0.355328,6.429696
Shadow Maps Render: ,1.915554,1.888256,2.322432
Lighting Pass:      ,14.906219,12.889088,28.621824
Voxelise Clear:     ,0.078257,0.077824,0.097280
Voxelise Pass:      ,1.543766,1.520640,1.896448
Inject Radiance:    ,1.820363,1.746944,2.172928
GPU Tile Update:    ,0.000004,0.000000,0.001024
Generate Mips:      ,0.481433,0.428032,2.070528
Image Comparison Difference,0.000000,0.000000,0.000000

Memory Usage(MB):,73
